Group Text Retrieval,Group Image Retrieval
False,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
True,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
False,False
True,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
True,False
True,False
False,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
True,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,True
False,False
False,False
True,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
True,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
False,False
False,False
False,False
True,False
True,False
False,False
True,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
False,False
False,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
True,False
False,False
False,False
True,False
True,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
True,False
True,False
True,False
False,False
False,False
True,False
False,False
False,False
False,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
True,False
True,False
True,False
True,False
False,False
True,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
